Occ	Fréq	CoFréq	Indice	DistMoy
France	4664	19	7.7806	2.0526316
prendre	1493	11	7.2429	1.0909091
défaite	114	4	5.5922	0.75
partisans	319	5	5.1476	0.6
jamais	1801	9	4.6984	2.2222223
Allemagne	2376	10	4.5218	1.6
idées	472	5	4.3364	0.0
guerre	3501	11	3.7902	1.3636364
accusation	180	3	3.3546	2.3333333
revanche	197	3	3.2408	0.6666667
politiques	821	5	3.2301	1.4
pris	2314	8	3.1749	0.5
journal	1360	6	3.0401	0.6666667
silence	238	3	3.0039	1.3333334
Français	581	4	2.873	0.75
prêt	284	3	2.7847	0.33333334
parti	2177	7	2.6699	1.7142857
autour	395	3	2.3821	3.0
